"Station","Date","Time","Precip","type","Air max","min","obs","Wx","Wind dir","speed","Bulb wet","dry","Soil max","min","Evap","Solar","ETo","RH max","min"
STBARBRA.C,19510101,2400,0.000,,17.2,1.1,11.7,,,,,,,,,,,,
STBARBRA.C,19510102,2400,0.000,,16.1,1.1,10.6,,,,,,,,,,,,
STBARBRA.C,19510103,2400,0.000,,16.7,3.3,12.8,,,,,,,,,,,,
STBARBRA.C,19510104,2400,4.569,,15.6,7.2,11.1,R,,,,,,,,,,,
STBARBRA.C,19510105,2400,0.000,,17.8,5.6,12.2,,,,,,,,,,,,
STBARBRA.C,19510106,2400,0.000,,22.2,3.9,13.9,,,,,,,,,,,,
STBARBRA.C,19510107,2400,0.000,,20.6,1.1,15.6,,,,,,,,,,,,
STBARBRA.C,19510108,2400,0.000,,20.6,2.2,15.0,,,,,,,,,,,,
STBARBRA.C,19510109,2400,0.000,,17.2,1.7,11.7,,,,,,,,,,,,
STBARBRA.C,19510110,2400,15.22,,16.1,4.4,12.8,R,,,,,,,,,,,
STBARBRA.C,19510111,2400,12.69,,13.3,7.8,10.0,R,,,,,,,,,,,
STBARBRA.C,19510112,2400,0.000,,16.7,5.0,11.7,,,,,,,,,,,,
STBARBRA.C,19510113,2400,0.000,,17.8,2.8,12.2,,,,,,,,,,,,
STBARBRA.C,19510114,2400,0.000,,16.7,2.2,14.4,,,,,,,,,,,,
STBARBRA.C,19510115,2400,0.000,,15.0,2.8,8.3,,,,,,,,,,,,
STBARBRA.C,19510116,2400,0.508,,15.6,5.0,10.0,R,,,,,,,,,,,
STBARBRA.C,19510117,2400,0.000,,15.6,2.2,11.7,,,,,,,,,,,,
STBARBRA.C,19510118,2400,8.883,,12.2,9.4,11.1,R,,,,,,,,,,,
STBARBRA.C,19510119,2400,7.107,,17.2,7.2,12.8,R,,,,,,,,,,,
STBARBRA.C,19510120,2400,0.000,,16.7,3.3,14.4,,,,,,,,,,,,
STBARBRA.C,19510121,2400,0.000,,18.9,2.8,17.8,,,,,,,,,,,,
STBARBRA.C,19510122,2400,0.000,,24.4,5.0,21.1,,,,,,,,,,,,
STBARBRA.C,19510123,2400,0.000,,26.1,9.4,18.3,,,,,,,,,,,,
STBARBRA.C,19510124,2400,0.000,,27.2,7.2,10.0,,,,,,,,,,,,
STBARBRA.C,19510125,2400,0.000,,28.9,7.2,17.2,,,,,,,,,,,,
STBARBRA.C,19510126,2400,0.000,,17.2,5.6,12.2,F,,,,,,,,,,,
STBARBRA.C,19510127,2400,0.000,,15.0,11.1,12.8,F,,,,,,,,,,,
STBARBRA.C,19510128,2400,0.000,,16.7,6.7,12.8,,,,,,,,,,,,
STBARBRA.C,19510129,2400,15.22,,12.8,8.9,10.6,R,,,,,,,,,,,
STBARBRA.C,19510130,2400,0.000,,14.4,6.7,12.8,,,,,,,,,,,,
STBARBRA.C,19510131,2400,0.000,,15.0,0.0,10.0,,,,,,,,,,,,
STBARBRA.C,19510201,2400,0.000,,16.7,0.6,10.6,,,,,,,,,,,,
STBARBRA.C,19510202,2400,0.000,,20.0,0.6,12.8,,,,,,,,,,,,
STBARBRA.C,19510203,2400,0.000,,19.4,2.2,13.9,,,,,,,,,,,,
STBARBRA.C,19510204,2400,0.000,,20.0,4.4,15.6,,,,,,,,,,,,
STBARBRA.C,19510205,2400,0.000,,21.7,7.8,15.6,,,,,,,,,,,,
STBARBRA.C,19510206,2400,0.000,,21.1,5.0,12.8,F,,,,,,,,,,,
STBARBRA.C,19510207,2400,0.000,,20.0,7.8,11.1,F,,,,,,,,,,,
STBARBRA.C,19510208,2400,0.000,,19.4,7.2,11.1,F,,,,,,,,,,,
STBARBRA.C,19510209,2400,0.508,,23.3,6.7,12.2,R,,,,,,,,,,,
STBARBRA.C,19510210,2400,0.254,,17.8,8.9,15.0,R,,,,,,,,,,,
STBARBRA.C,19510211,2400,0.000,,16.1,7.8,10.6,F,,,,,,,,,,,
STBARBRA.C,19510212,2400,1.015,,19.4,10.6,13.9,R,,,,,,,,,,,
STBARBRA.C,19510213,2400,0.000,,24.4,4.4,16.7,,,,,,,,,,,,
STBARBRA.C,19510214,2400,0.000,,22.2,5.6,15.6,,,,,,,,,,,,
STBARBRA.C,19510215,2400,0.000,,18.3,5.0,12.8,,,,,,,,,,,,
STBARBRA.C,19510216,2400,0.000,,19.4,5.6,12.2,,,,,,,,,,,,
STBARBRA.C,19510217,2400,0.000,,21.1,2.2,17.2,,,,,,,,,,,,
STBARBRA.C,19510218,2400,0.000,,20.0,5.0,16.7,,,,,,,,,,,,
STBARBRA.C,19510219,2400,0.000,,17.8,2.8,10.0,,,,,,,,,,,,
STBARBRA.C,19510220,2400,0.000,,18.9,1.1,14.4,,,,,,,,,,,,
STBARBRA.C,19510221,2400,0.000,,16.7,2.2,13.9,,,,,,,,,,,,
STBARBRA.C,19510222,2400,0.000,,13.9,2.2,9.4,,,,,,,,,,,,
STBARBRA.C,19510223,2400,11.92,,10.0,5.0,6.7,R,,,,,,,,,,,
STBARBRA.C,19510224,2400,2.284,,16.7,3.9,11.1,R,,,,,,,,,,,
STBARBRA.C,19510225,2400,0.000,,17.8,2.2,15.0,,,,,,,,,,,,
STBARBRA.C,19510226,2400,9.137,,15.0,3.9,6.1,R,,,,,,,,,,,
STBARBRA.C,19510227,2400,5.584,,12.8,4.4,8.9,R,,,,,,,,,,,
STBARBRA.C,19510228,2400,0.000,,12.8,0.0,10.0,,,,,,,,,,,,
STBARBRA.C,19510301,2400,28.17,,12.8,4.4,5.0,R,,,,,,,,,,,
STBARBRA.C,19510302,2400,0.508,,12.8,2.8,9.4,R,,,,,,,,,,,
STBARBRA.C,19510303,2400,0.000,,13.3,0.0,12.2,,,,,,,,,,,,
STBARBRA.C,19510304,2400,0.000,,15.6,1.1,12.8,,,,,,,,,,,,
STBARBRA.C,19510305,2400,1.269,,15.0,6.1,11.1,R,,,,,,,,,,,
STBARBRA.C,19510306,2400,0.508,,15.6,6.1,11.1,R,,,,,,,,,,,
STBARBRA.C,19510307,2400,0.000,,17.2,3.9,12.8,,,,,,,,,,,,
STBARBRA.C,19510308,2400,0.000,,18.3,3.3,11.1,,,,,,,,,,,,
STBARBRA.C,19510309,2400,0.000,,17.8,5.0,13.9,,,,,,,,,,,,
STBARBRA.C,19510310,2400,0.000,,18.9,3.3,12.2,,,,,,,,,,,,
STBARBRA.C,19510311,2400,0.000,,23.3,3.3,19.4,,,,,,,,,,,,
STBARBRA.C,19510312,2400,0.000,,24.4,5.0,15.0,,,,,,,,,,,,
STBARBRA.C,19510313,2400,0.000,,28.3,8.3,15.6,,,,,,,,,,,,
STBARBRA.C,19510314,2400,0.000,,30.6,6.7,12.8,,,,,,,,,,,,
STBARBRA.C,19510315,2400,0.000,,24.4,6.7,10.6,,,,,,,,,,,,
STBARBRA.C,19510316,2400,0.000,,17.8,7.8,13.3,,,,,,,,,,,,
STBARBRA.C,19510317,2400,0.000,,19.4,5.6,14.4,,,,,,,,,,,,
STBARBRA.C,19510318,2400,0.000,,25.0,5.0,21.7,,,,,,,,,,,,
STBARBRA.C,19510319,2400,0.000,,26.7,3.9,15.6,,,,,,,,,,,,
STBARBRA.C,19510320,2400,0.000,,22.2,6.7,14.4,HZ,,,,,,,,,,,
STBARBRA.C,19510321,2400,0.000,,20.0,5.6,13.9,,,,,,,,,,,,
STBARBRA.C,19510322,2400,0.000,,19.4,6.7,14.4,F,,,,,,,,,,,
STBARBRA.C,19510323,2400,0.000,,20.6,4.4,11.1,F,,,,,,,,,,,
STBARBRA.C,19510324,2400,0.000,,28.9,5.6,15.0,,,,,,,,,,,,
STBARBRA.C,19510325,2400,0.000,,18.3,6.1,13.3,,,,,,,,,,,,
STBARBRA.C,19510326,2400,0.000,,18.9,9.4,12.8,F,,,,,,,,,,,
STBARBRA.C,19510327,2400,0.000,,17.8,6.1,11.1,F,,,,,,,,,,,
STBARBRA.C,19510328,2400,0.000,,18.3,10.0,12.8,,,,,,,,,,,,
STBARBRA.C,19510329,2400,0.000,,17.8,10.0,14.4,F,,,,,,,,,,,
STBARBRA.C,19510330,2400,0.000,,19.4,6.1,13.9,,,,,,,,,,,,
STBARBRA.C,19510331,2400,0.000,,17.8,2.8,11.1,,,,,,,,,,,,
STBARBRA.C,19510401,2400,0.000,,18.9,3.9,16.7,HZ,,,,,,,,,,,
STBARBRA.C,19510402,2400,0.000,,17.8,6.1,12.8,,,,,,,,,,,,
STBARBRA.C,19510403,2400,0.000,,17.8,10.6,13.3,DZ,,,,,,,,,,,
STBARBRA.C,19510404,2400,2.284,,20.0,7.8,11.1,R,,,,,,,,,,,
STBARBRA.C,19510405,2400,0.000,,18.3,7.2,13.9,,,,,,,,,,,,
STBARBRA.C,19510406,2400,0.000,,18.3,6.7,13.3,,,,,,,,,,,,
STBARBRA.C,19510407,2400,0.000,,17.8,6.7,14.4,,,,,,,,,,,,
STBARBRA.C,19510408,2400,0.000,,17.2,7.2,13.9,F,,,,,,,,,,,
STBARBRA.C,19510409,2400,0.000,,17.8,11.1,12.8,,,,,,,,,,,,
STBARBRA.C,19510410,2400,0.000,,13.9,11.1,12.8,DZ,,,,,,,,,,,
STBARBRA.C,19510411,2400,0.000,,18.9,11.1,12.8,DZ,,,,,,,,,,,
STBARBRA.C,19510412,2400,0.000,,25.0,7.8,19.4,,,,,,,,,,,,
STBARBRA.C,19510413,2400,0.000,,19.4,10.6,13.9,,,,,,,,,,,,
STBARBRA.C,19510414,2400,0.508,,15.6,11.1,14.4,R,,,,,,,,,,,
STBARBRA.C,19510415,2400,0.000,,15.6,11.1,15.0,F,,,,,,,,,,,
STBARBRA.C,19510416,2400,0.000,,17.8,11.7,13.3,F,,,,,,,,,,,
STBARBRA.C,19510417,2400,0.000,,16.7,7.8,12.2,F,,,,,,,,,,,
STBARBRA.C,19510418,2400,0,,17.8,6.1,12.2,DZ,,,,,,,,,,,
STBARBRA.C,19510419,2400,0.761,,16.7,11.7,14.4,R,,,,,,,,,,,
STBARBRA.C,19510420,2400,0.000,,18.9,7.8,13.3,,,,,,,,,,,,
STBARBRA.C,19510421,2400,0.000,,19.4,11.1,15.6,F,,,,,,,,,,,
STBARBRA.C,19510422,2400,0.000,,20.0,6.1,16.7,,,,,,,,,,,,
STBARBRA.C,19510423,2400,0.508,,17.8,10.0,13.3,R,,,,,,,,,,,
STBARBRA.C,19510424,2400,0.000,,18.3,6.1,12.8,F,,,,,,,,,,,
STBARBRA.C,19510425,2400,18.52,,17.2,10.0,14.4,R,,,,,,,,,,,
STBARBRA.C,19510426,2400,0.000,,17.8,6.1,15.0,,,,,,,,,,,,
STBARBRA.C,19510427,2400,0.000,,20.6,6.1,15.6,,,,,,,,,,,,
STBARBRA.C,19510428,2400,11.67,,16.7,11.7,12.8,R,,,,,,,,,,,
STBARBRA.C,19510429,2400,2.031,,18.3,8.3,13.9,R,,,,,,,,,,,
STBARBRA.C,19510430,2400,0.508,,18.3,8.3,12.8,R,,,,,,,,,,,
STBARBRA.C,19510501,2400,0.000,,21.1,6.1,14.4,,,,,,,,,,,,
STBARBRA.C,19510502,2400,0.000,,17.8,7.8,12.2,,,,,,,,,,,,
STBARBRA.C,19510503,2400,0.000,,19.4,6.1,15.6,,,,,,,,,,,,
STBARBRA.C,19510504,2400,0.254,,21.7,11.7,17.2,R,,,,,,,,,,,
STBARBRA.C,19510505,2400,0.000,,21.1,7.2,12.8,,,,,,,,,,,,
STBARBRA.C,19510506,2400,0.000,,21.7,7.2,19.4,,,,,,,,,,,,
STBARBRA.C,19510507,2400,0.000,,21.1,7.2,15.6,,,,,,,,,,,,
STBARBRA.C,19510508,2400,0.000,,22.2,7.8,19.4,,,,,,,,,,,,
STBARBRA.C,19510509,2400,0.000,,22.2,8.9,17.2,,,,,,,,,,,,
STBARBRA.C,19510510,2400,0.000,,17.8,11.1,14.4,F,,,,,,,,,,,
STBARBRA.C,19510511,2400,0.000,,22.8,9.4,18.3,,,,,,,,,,,,
STBARBRA.C,19510512,2400,0.000,,25.0,8.3,16.1,,,,,,,,,,,,
STBARBRA.C,19510513,2400,0.000,,23.3,9.4,13.9,,,,,,,,,,,,
STBARBRA.C,19510514,2400,0.000,,26.1,9.4,16.1,,,,,,,,,,,,
STBARBRA.C,19510515,2400,0.000,,20.0,7.8,14.4,,,,,,,,,,,,
STBARBRA.C,19510516,2400,0.000,,19.4,7.8,13.3,,,,,,,,,,,,
STBARBRA.C,19510517,2400,0.000,,17.8,10.6,14.4,F,,,,,,,,,,,
STBARBRA.C,19510518,2400,0.000,,18.9,10.6,14.4,F,,,,,,,,,,,
STBARBRA.C,19510519,2400,0.000,,17.8,10.6,16.1,F,,,,,,,,,,,
STBARBRA.C,19510520,2400,0.000,,16.7,10.6,12.8,F,,,,,,,,,,,
STBARBRA.C,19510521,2400,0.000,,18.9,11.1,15.0,F,,,,,,,,,,,
STBARBRA.C,19510522,2400,0.000,,18.9,10.0,16.1,F,,,,,,,,,,,
STBARBRA.C,19510523,2400,0.000,,21.1,7.2,13.9,,,,,,,,,,,,
STBARBRA.C,19510524,2400,0.000,,21.7,10.0,12.2,F,,,,,,,,,,,
STBARBRA.C,19510525,2400,0.000,,24.4,11.1,18.3,,,,,,,,,,,,
STBARBRA.C,19510526,2400,0.000,,20.0,11.7,17.8,F,,,,,,,,,,,
STBARBRA.C,19510527,2400,0.000,,21.1,12.8,15.0,F,,,,,,,,,,,
STBARBRA.C,19510528,2400,0.000,,21.1,14.4,15.0,F,,,,,,,,,,,
STBARBRA.C,19510529,2400,0.000,,22.8,8.9,15.6,F,,,,,,,,,,,
STBARBRA.C,19510530,2400,0.000,,21.1,11.1,19.4,HZ,,,,,,,,,,,
STBARBRA.C,19510531,2400,0.000,,21.1,8.3,15.6,HZ,,,,,,,,,,,
STBARBRA.C,19510601,2400,0.000,,23.3,8.9,17.2,,,,,,,,,,,,
STBARBRA.C,19510602,2400,0.000,,30.6,10.0,18.3,,,,,,,,,,,,
STBARBRA.C,19510603,2400,0.000,,26.1,11.1,15.6,,,,,,,,,,,,
STBARBRA.C,19510604,2400,0.000,,20.6,12.8,16.7,F,,,,,,,,,,,
STBARBRA.C,19510605,2400,0.000,,21.1,11.7,17.8,F,,,,,,,,,,,
STBARBRA.C,19510606,2400,0.000,,20.6,7.8,16.7,F,,,,,,,,,,,
STBARBRA.C,19510607,2400,0.000,,20.0,8.3,18.3,F,,,,,,,,,,,
STBARBRA.C,19510608,2400,0.000,,21.1,7.8,14.4,F,,,,,,,,,,,
STBARBRA.C,19510609,2400,0.000,,20.6,7.8,13.9,,,,,,,,,,,,
STBARBRA.C,19510610,2400,0.000,,21.1,10.0,18.3,F,,,,,,,,,,,
STBARBRA.C,19510611,2400,0.000,,21.7,11.1,15.6,,,,,,,,,,,,
STBARBRA.C,19510612,2400,0.000,,20.6,11.7,17.8,F,,,,,,,,,,,
STBARBRA.C,19510613,2400,0.000,,21.7,10.6,17.8,F,,,,,,,,,,,
STBARBRA.C,19510614,2400,0.000,,21.1,11.1,16.7,F,,,,,,,,,,,
STBARBRA.C,19510615,2400,0.000,,20.0,12.8,16.7,F,,,,,,,,,,,
STBARBRA.C,19510616,2400,0.000,,21.1,13.3,18.3,F,,,,,,,,,,,
STBARBRA.C,19510617,2400,0.000,,20.0,12.8,16.7,F,,,,,,,,,,,
